uid	original	mturk	word-embedding	pc	ctx
accordion	accordion	accordion	accordion	accordion	accordion
airplane	airplane	airplane	airplane	airplane	airplane
alligator	alligator	alligator	alligator	alligator	alligator
ambulance	ambulance	ambulance	ambulance	ambulance	ambulance
anchor	anchor	anchor	anchor	anchor	anchor
ant	ant	ant	ant	ant	ant
apartment	apartment	apartment	apartment	apartment	apartment
apple	apple	apple	apple	apple	apple
apron	apron	apron	apron	apron	apron
armour	armour	suit of armor	armor	armor	armour
ashtray	ashtray	ashtray	ashtray	ashtray	ashtray
asparagus	asparagus	asparagus	asparagus	asparagus	asparagus
avocado	avocado	avocado	avocado	avocado	avocado
axe	axe	axe	axe	axe	axe
backpack	backpack	backpack	backpack	backpack	backpack
bag	bag	bag	bag	bag	bag
bagpipe	bagpipe	bagpipe	bagpipe	bagpipe	bagpipe
ball	ball	ball	ball	ball	ball
balloon	balloon	balloon	balloon	balloon	balloon
banana	banana	banana	banana	banana	banana
banjo	banjo	banjo	banjo	banjo	banjo
banner	banner	banner	banner	banner	banner
barn	barn	barn	barn	barn	barn
barrel	barrel	barrel	barrel	barrel	barrel
baseball_bat	baseball bat	baseball bat	bat	bat	bat
baseball_glove	baseball glove	baseball glove	glove	glove	glove
basement	basement	basement	basement	basement	basement
basket	basket	basket	basket	basket	basket
bathtub	bathtub	bathtub	bathtub	bathtub	bathtub
baton	baton	baton	baton	baton	baton
bayonet	bayonet	bayonet	bayonet	bayonet	bayonet
bazooka	bazooka	bazooka	bazooka	bazooka	bazooka
beans	beans	beans	beans	bean	beans
bear	bear	bear	bear	bear	bear
beaver	beaver	beaver	beaver	beaver	beaver
bed	bed	bed	bed	bed	bed
bedroom	bedroom	bedroom	bedroom	bedroom	bedroom
beehive	beehive	beehive	beehive	beehive	beehive
beetle	beetle	beetle	beetle	beetle	beetle
beets	beets	beets	beets	beet	beets
belt	belt	belt	belt	belt	belt
bench	bench	bench	bench	bench	bench
bicycle	bicycle	bicycle	bicycle	bicycle	bicycle
bike	bike	bike	bike	bike	bike
bird	bird	bird	bird	bird	bird
biscuit	biscuit	biscuit	biscuit	biscuit	biscuit
bison	bison	bison	bison	bison	bison
blender	blender	blender	blender	blender	blender
blouse	blouse	blouse	blouse	blouse	blouse
blueberry	blueberry	blueberry	blueberry	blueberry	blueberry
boat	boat	boat	boat	boat	boat
bolts	bolts	bolts	bolts	bolt	bolts
bomb	bomb	bomb	bomb	bomb	bomb
book	book	book	book	book	book
bookcase	bookcase	bookcase	bookcase	bookcase	bookcase
boots	boots	boots	boots	boot	boots
bottle	bottle	bottle	bottle	bottle	bottle
bouquet	bouquet	bouquet	bouquet	bouquet	bouquet
bowl	bowl	bowl	bowl	bowl	bowl
box	box	box	box	box	box
bra	bra	bra	bra	bra	bra
bracelet	bracelet	bracelet	bracelet	bracelet	bracelet
bread	bread	bread	bread	bread	bread
brick	brick	brick	brick	brick	brick
bridge	bridge	bridge	bridge	bridge	bridge
broccoli	broccoli	broccoli	broccoli	broccoli	broccoli
broom	broom	broom	broom	broom	broom
brush	brush	brush	brush	brush	brush
bucket	bucket	bucket	bucket	bucket	bucket
buckle	buckle	buckle	buckle	buckle	buckle
buffalo	buffalo	buffalo	buffalo	buffalo	buffalo
buggy	buggy	baby stroller	buggy	buggy	buggy
building	building	building	building	building	building
bull	bull	bull	bull	bull	bull
bullet	bullet	bullet	bullet	bullet	bullet
bungalow	bungalow	bungalow (a low house)	bungalow	bungalow	bungalow
bureau	bureau	bureau	bureau	bureau	bureau
bus	bus	bus	bus	bus	bus
butterfly	butterfly	butterfly	butterfly	butterfly	butterfly
cabbage	cabbage	cabbage	cabbage	cabbage	cabbage
cabin	cabin	cabin	cabin	cabin	cabin
cabinet	cabinet	cabinet	cabinet	cabinet	cabinet
cage	cage	cage	cage	cage	cage
cake	cake	cake	cake	cake	cake
calf	calf	calf (a young cow)	calf	calf	calf
camel	camel	camel	camel	camel	camel
camisole	camisole	camisole (women's tank top)	camisole	camisole	camisole
candle	candle	candle	candle	candle	candle
cannon	cannon	cannon	cannon	cannon	cannon
canoe	canoe	canoe	canoe	canoe	canoe
cantaloupe	cantaloupe	cantaloupe	cantaloupe	cantaloupe	cantaloupe
cape	cape	cape	cape	cape	cape
car	car	car	car	car	car
caribou	caribou	caribou	caribou	caribou	caribou
carpet	carpet	carpet	carpet	carpet	carpet
carrot	carrot	carrot	carrot	carrot	carrot
cart	cart	cart	cart	cart	cart
cat	cat	cat	cat	cat	cat
catapult	catapult	catapult	catapult	catapult	catapult
caterpillar	caterpillar	caterpillar	caterpillar	caterpillar	caterpillar
cathedral	cathedral	cathedral	cathedral	cathedral	cathedral
cauliflower	cauliflower	cauliflower	cauliflower	cauliflower	cauliflower
celery	celery	celery	celery	celery	celery
cell_phone	cell phone	cell phone	phone	phone	phone
cellar	cellar	cellar	cellar	cellar	cellar
cello	cello	cello	cello	cello	cello
certificate	certificate	certificate	certificate	certificate	certificate
chain	chain	chain	chain	chain	chain
chair	chair	chair	chair	chair	chair
chandelier	chandelier	chandelier	chandelier	chandelier	chandelier
chapel	chapel	chapel	chapel	chapel	chapel
cheese	cheese	cheese	cheese	cheese	cheese
cheetah	cheetah	cheetah	cheetah	cheetah	cheetah
cherry	cherry	cherry	cherry	cherry	cherry
chicken	chicken	chicken	chicken	chicken	chicken
chimp	chimp	chimp	chimp	chimp	chimp
chipmunk	chipmunk	chipmunk	chipmunk	chipmunk	chipmunk
chisel	chisel	chisel	chisel	chisel	chisel
church	church	church	church	church	church
cigar	cigar	cigar	cigar	cigar	cigar
cigarette	cigarette	cigarette	cigarette	cigarette	cigarette
clam	clam	clam	clam	clam	clam
clamp	clamp	clamp	clamp	clamp	clamp
clarinet	clarinet	clarinet	clarinet	clarinet	clarinet
cloak	cloak	cloak	cloak	cloak	cloak
clock	clock	clock	clock	clock	clock
closet	closet	closet	closet	closet	closet
coat	coat	coat	coat	coat	coat
cockroach	cockroach	cockroach	cockroach	cockroach	cockroach
coconut	coconut	coconut	coconut	coconut	coconut
coin	coin	coin	coin	coin	coin
colander	colander	colander	colander	colander	colander
comb	comb	comb	comb	comb	comb
cork	cork	cork	cork	cork	cork
corkscrew	corkscrew	corkscrew	corkscrew	corkscrew	corkscrew
corn	corn	corn	corn	corn	corn
cottage	cottage	cottage	cottage	cottage	cottage
couch	couch	couch	couch	couch	couch
cougar	cougar	cougar	cougar	cougar	cougar
cow	cow	cow	cow	cow	cow
coyote	coyote	coyote	coyote	coyote	coyote
crab	crab	crab	crab	crab	crab
cranberry	cranberry	cranberry	cranberry	cranberry	cranberry
crayon	crayon	crayon	crayon	crayon	crayon
crocodile	crocodile	crocodile	crocodile	crocodile	crocodile
crossbow	crossbow	crossbow	crossbow	crossbow	crossbow
crow	crow	crow	crow	crow	crow
crowbar	crowbar	crowbar	crowbar	crowbar	crowbar
crown	crown	crown	crown	crown	crown
cucumber	cucumber	cucumber	cucumber	cucumber	cucumber
cup	cup	cup	cup	cup	cup
cupboard	cupboard	cupboard	cupboard	cupboard	cupboard
curtains	curtains	curtains	curtains	curtain	curtains
cushion	cushion	cushion	cushion	cushion	cushion
dagger	dagger	dagger	dagger	dagger	dagger
dandelion	dandelion	dandelion	dandelion	dandelion	dandelion
deer	deer	deer	deer	deer	deer
desk	desk	desk	desk	desk	desk
dining_table	dining table	dining table	table	table	table
dish	dish	dish	dish	dish	dish
dishwasher	dishwasher	dishwasher	dishwasher	dishwasher	dishwasher
dog	dog	dog	dog	dog	dog
doll	doll	doll	doll	doll	doll
dolphin	dolphin	dolphin	dolphin	dolphin	dolphin
donkey	donkey	donkey	donkey	donkey	donkey
donut	donut	donut	donut	donut	donut
door	door	door	door	door	door
doorknob	doorknob	doorknob	doorknob	doorknob	doorknob
dove	dove	dove	dove	dove	dove
drain	drain	drain	drain	drain	drain
drapes	drapes	drapes	drapes	drape	drapes
dress	dress	dress	dress	dress	dress
dresser	dresser	dresser	dresser	dresser	dresser
drill	drill	drill	drill	drill	drill
drum	drum	drum	drum	drum	drum
duck	duck	duck	duck	duck	duck
eagle	eagle	eagle	eagle	eagle	eagle
earmuffs	earmuffs	earmuffs	earmuffs	earmuff	earmuffs
eel	eel	eel	eel	eel	eel
eggplant	eggplant	eggplant	eggplant	eggplant	eggplant
elephant	elephant	elephant	elephant	elephant	elephant
elevator	elevator	elevator	elevator	elevator	elevator
elk	elk	elk	elk	elk	elk
emerald	emerald	emerald	emerald	emerald	emerald
envelope	envelope	envelope	envelope	envelope	envelope
escalator	escalator	escalator	escalator	escalator	escalator
falcon	falcon	falcon	falcon	falcon	falcon
faucet	faucet	faucet	faucet	faucet	faucet
fawn	fawn	fawn (a young deer)	fawn	fawn	fawn
fence	fence	fence	fence	fence	fence
fire_hydrant	fire hydrant	fire hydrant	hydrant	hydrant	hydrant
flamingo	flamingo	flamingo	flamingo	flamingo	flamingo
flea	flea	flea	flea	flea	flea
flute	flute	flute	flute	flute	flute
football	football	football	football	football	football
fork	fork	fork	fork	fork	fork
fox	fox	fox	fox	fox	fox
freezer	freezer	freezer	freezer	freezer	freezer
fridge	fridge	fridge	fridge	fridge	fridge
frisbee	frisbee	frisbee	frisbee	frisbee	frisbee
frog	frog	frog	frog	frog	frog
garage	garage	garage	garage	garage	garage
garlic	garlic	garlic	garlic	garlic	garlic
gate	gate	gate	gate	gate	gate
giraffe	giraffe	giraffe	giraffe	giraffe	giraffe
gloves	gloves	gloves	gloves	glove	gloves
goat	goat	goat	goat	goat	goat
goldfish	goldfish	goldfish	goldfish	goldfish	goldfish
goose	goose	goose	goose	goose	goose
gopher	gopher	gopher	gopher	gopher	gopher
gorilla	gorilla	gorilla	gorilla	gorilla	gorilla
gown	gown	gown	gown	gown	gown
grape	grape	grape	grape	grape	grape
grapefruit	grapefruit	grapefruit	grapefruit	grapefruit	grapefruit
grasshopper	grasshopper	grasshopper	grasshopper	grasshopper	grasshopper
grater	grater	grater	grater	grater	grater
grenade	grenade	grenade	grenade	grenade	grenade
groundhog	groundhog	groundhog	groundhog	groundhog	groundhog
guitar	guitar	guitar	guitar	guitar	guitar
gun	gun	gun	gun	gun	gun
hair_drier	hair drier	hair drier	hairdrier	hairdrier	drier
hammer	hammer	hammer	hammer	hammer	hammer
hamster	hamster	hamster	hamster	hamster	hamster
handbag	handbag	handbag	handbag	handbag	handbag
hare	hare	hare	hare	hare	hare
harmonica	harmonica	harmonica	harmonica	harmonica	harmonica
harp	harp	harp	harp	harp	harp
harpoon	harpoon	harpoon	harpoon	harpoon	harpoon
harpsichord	harpsichord	harpsichord	harpsichord	harpsichord	harpsichord
hatchet	hatchet	hatchet	hatchet	hatchet	hatchet
hawk	hawk	hawk	hawk	hawk	hawk
helicopter	helicopter	helicopter	helicopter	helicopter	helicopter
helmet	helmet	helmet	helmet	helmet	helmet
hoe	hoe	hoe	hoe	hoe	hoe
honeydew	honeydew	honeydew (melon)	honeydew	honeydew	honeydew
hook	hook	hook	hook	hook	hook
hornet	hornet	hornet	hornet	hornet	hornet
horse	horse	horse	horse	horse	horse
hose	hose	hose	hose	hose	hose
hot_dog	hot dog	hot dog	hotdog	hotdog	dog
house	house	house	house	house	house
housefly	housefly	housefly	fly	fly	housefly
hut	hut	hut	hut	hut	hut
hyena	hyena	hyena	hyena	hyena	hyena
iguana	iguana	iguana	iguana	iguana	iguana
inn	inn	inn	inn	inn	inn
jacket	jacket	jacket	jacket	jacket	jacket
jar	jar	jar	jar	jar	jar
jeans	jeans	jeans	jeans	jeans	jeans
jeep	jeep	jeep	jeep	jeep	jeep
jet	jet	jet (plane)	jet	jet	jet
kettle	kettle	kettle	kettle	kettle	kettle
key	key	key	key	key	key
keyboard	keyboard	keyboard	keyboard	keyboard	keyboard
kite	kite	kite	kite	kite	kite
knife	knife	knife	knife	knife	knife
ladle	ladle	ladle	ladle	ladle	ladle
